year,av_flws_per_calendar_year,op_cost
2010,0,0
2011,0,0
2012,2171,457125.76
2013,7063,1487185.28
2014,13879,2922362.24
2015,22590,4756550.4
2016,32021,6742341.76
2017,59208,12466836.48
2018,109386,23032316.16
2019,366829,77239514.24
2020,625446,131693909.8
2021,739264,73926400
2022,841701,84170100
2023,1213322,121332200
2024,1213322,121332200
2025,1213322,121332200
2026,1213322,121332200
2027,1213322,121332200
2028,1213322,121332200
2029,1213322,121332200
2030,1213322,121332200
2031,1213322,121332200
2032,1213322,121332200
2033,1213322,121332200
2034,1213322,121332200
2035,1213322,121332200
